Recall,Precision
0.000000000000000000e+00,1.000000000000000000e+00
4.102563951164484024e-03,1.000000000000000000e+00
6.153846159577369690e-03,1.000000000000000000e+00
8.205127902328968048e-03,1.000000000000000000e+00
1.025641057640314102e-02,1.000000000000000000e+00
1.230769231915473938e-02,1.000000000000000000e+00
1.435897406190633774e-02,1.000000000000000000e+00
1.641025580465793610e-02,1.000000000000000000e+00
1.846153847873210907e-02,1.000000000000000000e+00
2.051282115280628204e-02,1.000000000000000000e+00
2.256410196423530579e-02,1.000000000000000000e+00
2.461538463830947876e-02,1.000000000000000000e+00
2.666666731238365173e-02,1.000000000000000000e+00
2.871794812381267548e-02,1.000000000000000000e+00
3.076923079788684845e-02,1.000000000000000000e+00
3.282051160931587219e-02,1.000000000000000000e+00
3.487179428339004517e-02,1.000000000000000000e+00
3.589743748307228088e-02,1.000000000000000000e+00
3.794871643185615540e-02,1.000000000000000000e+00
3.999999910593032837e-02,1.000000000000000000e+00
4.205128178000450134e-02,1.000000000000000000e+00
4.410256445407867432e-02,1.000000000000000000e+00
4.615384712815284729e-02,1.000000000000000000e+00
4.820512980222702026e-02,1.000000000000000000e+00
5.025640875101089478e-02,1.000000000000000000e+00
5.230769142508506775e-02,1.000000000000000000e+00
5.435897409915924072e-02,1.000000000000000000e+00
5.641025677323341370e-02,1.000000000000000000e+00
5.846153944730758667e-02,1.000000000000000000e+00
6.051282212138175964e-02,1.000000000000000000e+00
6.256410479545593262e-02,1.000000000000000000e+00
6.461538374423980713e-02,1.000000000000000000e+00
6.666667014360427856e-02,1.000000000000000000e+00
6.871794909238815308e-02,1.000000000000000000e+00
7.076922804117202759e-02,1.000000000000000000e+00
7.179487496614456177e-02,1.000000000000000000e+00
7.384615391492843628e-02,1.000000000000000000e+00
7.589743286371231079e-02,1.000000000000000000e+00
7.794871926307678223e-02,1.000000000000000000e+00
7.999999821186065674e-02,1.000000000000000000e+00
8.205128461122512817e-02,1.000000000000000000e+00
8.410256356000900269e-02,1.000000000000000000e+00
8.615384250879287720e-02,1.000000000000000000e+00
8.820512890815734863e-02,1.000000000000000000e+00
9.025640785694122314e-02,1.000000000000000000e+00
9.230769425630569458e-02,1.000000000000000000e+00
9.435897320508956909e-02,1.000000000000000000e+00
9.641025960445404053e-02,1.000000000000000000e+00
9.846153855323791504e-02,1.000000000000000000e+00
1.005128175020217896e-01,1.000000000000000000e+00
1.025641039013862610e-01,1.000000000000000000e+00
1.046153828501701355e-01,1.000000000000000000e+00
1.066666692495346069e-01,1.000000000000000000e+00
1.076923087239265442e-01,1.000000000000000000e+00
1.097435876727104187e-01,1.000000000000000000e+00
1.117948740720748901e-01,1.000000000000000000e+00
1.138461530208587646e-01,1.000000000000000000e+00
1.158974394202232361e-01,1.000000000000000000e+00
1.179487183690071106e-01,1.000000000000000000e+00
1.199999973177909851e-01,1.000000000000000000e+00
1.220512837171554565e-01,1.000000000000000000e+00
1.241025626659393311e-01,1.000000000000000000e+00
1.261538416147232056e-01,1.000000000000000000e+00
1.282051354646682739e-01,1.000000000000000000e+00
1.302564144134521484e-01,1.000000000000000000e+00
1.323076933622360229e-01,1.000000000000000000e+00
1.343589723110198975e-01,1.000000000000000000e+00
1.364102512598037720e-01,1.000000000000000000e+00
1.384615451097488403e-01,1.000000000000000000e+00
1.394871771335601807e-01,9.927007555961608887e-01
1.415384560823440552e-01,9.928057789802551270e-01
1.425641030073165894e-01,9.928571581840515137e-01
1.446153819561004639e-01,9.929577708244323730e-01
1.466666609048843384e-01,9.930555820465087891e-01
1.487179547548294067e-01,9.931507110595703125e-01
1.507692337036132812e-01,9.932432174682617188e-01
1.528205126523971558e-01,9.933333396911621094e-01
1.548717916011810303e-01,9.934210777282714844e-01
1.569230705499649048e-01,9.935064911842346191e-01
1.589743643999099731e-01,9.935897588729858398e-01
1.610256433486938477e-01,9.936708807945251465e-01
1.630769222974777222e-01,9.937499761581420898e-01
1.651282012462615967e-01,9.938271641731262207e-01
1.671794801950454712e-01,9.939024448394775391e-01
1.692307740449905396e-01,9.939758777618408203e-01
